Time,X
"6-30",0.068435
"6-30",0.060373
"6-30",0.063518
"6-30",0.053974
"6-30",0.035682
"6-30",0.011166
"6-30",-0.010259
"6-30",0.020861
"6-30",0.016076
"6-30",0.018015
"6-30",0.013657
"6-30",-0.035724
"6-30",-0.041013
"6-30",0.010811
"6-30",0.040016
"6-30",0.068819
"6-30",0.0585
"6-30",0.079613
"6-30",0.072457
"6-30",0.048403
"6-30",0.059634
"6-30",0.073225
"6-30",0.088569
"6-30",0.081558
"6-30",0.075981
"6-30",0.090814
"6-30",0.061219
"6-30",0.066814
"6-30",0.069654
"6-30",0.073688
"6-30",0.071322
"6-30",0.064263
"6-30",0.101296
"6-30",0.041151
"6-30",-0.022043
"6-30",0.029733
"6-30",0.045317
"6-30",0.000432
"6-30",-0.037513
"6-30",-0.043234
"6-30",-0.022554
"6-30",-0.003674
"6-30",-0.017265
"6-30",0.001777
"6-30",-0.026222
"6-30",0.015206
"6-30",-0.001483
"6-30",-0.02792
"6-30",0.00796
"6-30",0.059088
"6-30",0.053163
"6-30",0.042442
"6-30",0.035646
"6-30",0.038336
"6-30",0.041883
"6-30",0.03986
"6-30",0.056429
"6-30",0.064383
"6-30",0.051452
"6-30",0.052173
"6-30",0.04294
"6-30",0.049123
"6-30",0.055108
"6-30",0.066292
"6-30",0.044465
"6-30",0.008164
"6-30",0.027692
"6-30",0.048871
"6-30",0.061748
"6-30",0.05802
"6-30",0.046794
"6-30",0.035538
"6-30",0.020771
"6-30",0.008254
"6-30",0.033257
"6-30",0.039866
"6-30",0.053703
"6-30",0.027584
"6-30",0.029571
"6-30",0.019276
"6-30",0.000624
"6-30",0.01912
"6-30",0.023868
"6-30",0.026684
"6-30",0.043948
"6-30",0.065596
"6-30",0.065776
"6-30",0.016809
"6-30",0.010535
"6-30",0.01152
"6-30",-0.010968
"6-30",-0.07765
"6-30",-0.096181
"6-30",-0.058464
"6-30",-0.005157
"6-30",-0.013723
"6-30",0.000156
"6-30",-0.033413
"6-30",-0.040569
"6-30",-0.033935
"6-30",-0.01541
"6-30",-0.007318
"6-30",0.028635
"6-30",0.028965
"6-30",0.02044
"6-30",-0.001261
