Time,X
"6-30",0.002753
"6-30",-0.014663
"6-30",-0.036067
"6-30",-0.011911
"6-30",0.005427
"6-30",-0.017036
"6-30",-0.013263
"6-30",0.01642
"6-30",0.077859
"6-30",0.051973
"6-30",0.046248
"6-30",0.050903
"6-30",0.034875
"6-30",0.020115
"6-30",0.006592
"6-30",-0.004342
"6-30",-0.005519
"6-30",-0.005129
"6-30",0.006772
"6-30",0.001876
"6-30",-0.009827
"6-30",-0.001428
"6-30",0.020349
"6-30",-0.00117
"6-30",0.005186
"6-30",0.031397
"6-30",0.023191
"6-30",0.035428
"6-30",0.024699
"6-30",0.018745
"6-30",0.021461
"6-30",0.014408
"6-30",0.013369
"6-30",0.021845
"6-30",0.041916
"6-30",0.014294
"6-30",-0.007424
"6-30",0.004616
"6-30",0.038949
"6-30",0.015171
"6-30",0.018241
"6-30",0.035404
"6-30",0.04826
"6-30",0.03884
"6-30",0.0482
"6-30",0.028207
"6-30",0.03371
"6-30",-0.010595
"6-30",-0.01739
"6-30",-0.017546
"6-30",0.001065
"6-30",0.000302
"6-30",0.024422
"6-30",0.019292
"6-30",-0.004432
"6-30",0.007824
"6-30",0.002921
"6-30",0.018655
"6-30",0.020373
"6-30",0.020211
"6-30",0.024134
"6-30",0.006069
"6-30",-0.025933
"6-30",-0.02353
"6-30",-0.014861
"6-30",0.008719
"6-30",-0.020316
"6-30",-0.004005
"6-30",0.006958
"6-30",0.021461
"6-30",0.026543
"6-30",0.040078
"6-30",0.042145
"6-30",0.010509
"6-30",0.026921
"6-30",0.044872
"6-30",0.041484
"6-30",0.053228
"6-30",0.056695
"6-30",0.040763
"6-30",0.012107
"6-30",-0.006955
"6-30",-0.00466
"6-30",-0.007652
"6-30",-0.005327
"6-30",-0.003705
"6-30",0.007715
"6-30",-0.006
"6-30",-0.027471
"6-30",-0.04485
"6-30",-0.055718
"6-30",-0.016789
"6-30",0.010401
"6-30",0.008869
"6-30",0.001335
"6-30",0.002909
"6-30",0.002765
"6-30",0.031031
"6-30",0.039585
"6-30",0.029144
"6-30",0.001353
"6-30",0.012684
"6-30",0.031613
"6-30",0.030568
"6-30",0.028075
"6-30",0.0383
"6-30",0.035356
"6-30",0.026441
"6-30",0.034911
"6-30",0.031001
"6-30",0.015994
"6-30",0.001408
"6-30",-0.006588
"6-30",-0.007135
"6-30",-0.032379
"6-30",-0.068442
"6-30",-0.079039
"6-30",-0.062236
"6-30",-0.029645
"6-30",-0.023818
"6-30",0.004982
"6-30",-0.017738
"6-30",-0.008084
"6-30",-0.007682
"6-30",0.012425
"6-30",0.006376
"6-30",0.012557
"6-30",0.008298
"6-30",0.011416
"6-30",-0.002389
"6-30",0.002957
"6-30",0.001107
"6-30",0.015699
"6-30",0.004429
"6-30",-0.005621
"6-30",-0.013263
"6-30",-0.003903
"6-30",-0.014957
"6-30",-0.032739
"6-30",-0.011328
"6-30",0.002849
"6-30",0.010329
"6-30",-0.036818
"6-30",-0.042465
"6-30",-0.010361
"6-30",0.004051
"6-30",-0.018748
"6-30",0.005511
"6-30",0.004111
"6-30",0.008328
"6-30",0.002843
"6-30",0.020235
"6-30",-0.001098
"6-30",0.002982
"6-30",0.00315
"6-30",-0.002443
"6-30",0.004321
"6-30",0.008809
"6-30",0.019742
"6-30",0.014372
"6-30",0.017694
"6-30",0.012461
"6-30",0.006159
"6-30",-0.005081
"6-30",-0.003981
"6-30",-0.026161
"6-30",0.002213
"6-30",-0.006204
"6-30",-0.035857
"6-30",-0.064994
"6-30",-0.043156
"6-30",-0.006072
"6-30",-0.014999
"6-30",0.004814
"6-30",0.0276
"6-30",0.048873
"6-30",0.009145
"6-30",0.022494
"6-30",0.009247
"6-30",0.017532
"6-30",0.005613
"6-30",0.006718
"6-30",-0.00588
"6-30",0.016318
"6-30",0.013711
"6-30",0.016883
"6-30",-0.013659
"6-30",-0.001362
"6-30",-0.001044
"6-30",-0.001206
"6-30",-0.050756
"6-30",-0.044616
"6-30",-0.027675
"6-30",-0.056691
"6-30",-0.036254
"6-30",-0.051939
"6-30",-0.073464
"6-30",-0.023866
"6-30",0.000428
"6-30",-0.022917
"6-30",-0.002119
"6-30",-0.028198
"6-30",-0.040339
"6-30",-0.025302
"6-30",0.005601
"6-30",-0.011629
"6-30",-0.00755
"6-30",-0.004678
"6-30",0.038324
"6-30",0.029457
"6-30",0.014222
"6-30",0.012966
"6-30",0.020265
"6-30",-0.000227
"6-30",-0.006408
"6-30",-0.003218
"6-30",0.01168
"6-30",0.00533
"6-30",0.015886
"6-30",0.018415
"6-30",0.014432
"6-30",0.011386
"6-30",0.004934
"6-30",-0.014122
"6-30",-0.015335
"6-30",0.040516
"6-30",0.029925
"6-30",0.027672
"6-30",0.023707
"6-30",0.035975
"6-30",0.036984
"6-30",0.025732
"6-30",0.008887
"6-30",0.008166
"6-30",0.007127
"6-30",-0.00448
"6-30",0.003222
"6-30",0.011428
"6-30",0.030977
"6-30",0.012143
"6-30",0.015603
"6-30",0.01126
"6-30",0.024699
"6-30",0.015177
"6-30",0.031379
"6-30",0.037453
"6-30",0.052952
"6-30",0.036305
"6-30",0.019268
"6-30",-0.007664
"6-30",0.002801
"6-30",0.027144
"6-30",0.0386
"6-30",0.03189
"6-30",0.018144
"6-30",0.026964
"6-30",0.019142
"6-30",0.023137
"6-30",0.024398
"6-30",0.020758
"6-30",0.00369
"6-30",-0.029814
"6-30",-0.01286
"6-30",0.002735
"6-30",0.011326
"6-30",0.034707
"6-30",0.007475
"6-30",0.013615
"6-30",0.022115
"6-30",0.027702
"6-30",0.033776
"6-30",0.043034
"6-30",0.045971
"6-30",0.020007
"6-30",0.008653
"6-30",-0.002906
"6-30",-0.028035
"6-30",-0.026107
"6-30",0.026056
"6-30",0.028051
"6-30",0.023155
"6-30",0.009422
"6-30",0.015717
"6-30",0.010984
"6-30",0.029469
"6-30",0.029571
"6-30",0.038125
"6-30",0.003498
"6-30",0.004057
"6-30",0.009169
"6-30",0.009764
"6-30",0.012275
"6-30",0.006748
"6-30",-0.000341
"6-30",-0.023217
"6-30",-0.030048
"6-30",-0.015353
"6-30",-0.001176
"6-30",0.011434
"6-30",0.022356
"6-30",0.01114
"6-30",0.019694
"6-30",-0.014771
"6-30",-0.027501
"6-30",0.001203
"6-30",0.035128
"6-30",0.033674
"6-30",0.017706
"6-30",0.008983
"6-30",-0.014687
"6-30",-0.033863
"6-30",-0.011659
"6-30",-0.000905
"6-30",0.011975
"6-30",0.002639
"6-30",-0.000305
"6-30",0.001408
"6-30",0.003702
"6-30",0.001822
"6-30",0.01126
"6-30",0.02897
"6-30",-0.007135
"6-30",-0.00481
"6-30",-0.003969
"6-30",-0.012482
"6-30",0.012107
"6-30",-0.000647
"6-30",0.011921
"6-30",-0.044358
"6-30",-0.116568
"6-30",-0.090093
"6-30",-0.026197
"6-30",0.010605
"6-30",0.010317
"6-30",0.005979
"6-30",0.00357
"6-30",0.000879
"6-30",-0.019481
"6-30",-0.021926
"6-30",0.011062
"6-30",0.024609
"6-30",0.024783
"6-30",0.002615
"6-30",-0.002557
"6-30",0.007824
"6-30",0.027228
"6-30",0.023539
"6-30",0.03177
"6-30",0.028537
"6-30",0.021383
"6-30",0.009878
"6-30",0.025426
"6-30",0.020235
"6-30",0.022518
"6-30",0.022308
"6-30",-0.04953
"6-30",-0.097326
"6-30",-0.092178
"6-30",-0.059196
"6-30",-0.04121
"6-30",-0.027891
"6-30",-0.033682
"6-30",-0.035274
"6-30",-0.042339
"6-30",-0.002107
"6-30",0.009656
"6-30",0.04164
"6-30",0.029847
"6-30",0.016997
"6-30",0.018487
"6-30",0.020169
"6-30",0.018427
"6-30",0.025576
"6-30",0.042625
"6-30",0.055289
"6-30",0.035632
"6-30",-0.001392
"6-30",-0.014026
"6-30",-0.042934
"6-30",-0.006288
"6-30",0.001876
"6-30",0.007061
"6-30",-0.051002
"6-30",-0.053687
"6-30",-0.037461
"6-30",0.001299
"6-30",-0.026473
"6-30",0.008875
"6-30",-0.023259
"6-30",-0.017811
"6-30",-0.05919
"6-30",-0.037287
"6-30",-0.014753
"6-30",-0.01554
"6-30",-0.003699
"6-30",0.014204
"6-30",0.011404
"6-30",0.014522
"6-30",0.014961
"6-30",0.017267
"6-30",0.03729
"6-30",-0.004348
"6-30",-0.054979
"6-30",-0.038296
"6-30",-0.025825
"6-30",-0.044093
"6-30",-0.035689
"6-30",0.006448
"6-30",0.048206
"6-30",0.001263
"6-30",-0.009418
"6-30",0.009878
"6-30",0.04042
"6-30",0.03833
"6-30",0.038294
"6-30",0.026068
"6-30",0.026375
"6-30",0.0112
"6-30",0.021286
"6-30",0.015796
"6-30",0.005451
"6-30",0.007187
"6-30",0.020884
"6-30",-0.017588
"6-30",-0.012482
"6-30",0.009295
"6-30",-0.002672
"6-30",0.006208
"6-30",-0.004894
"6-30",0.010317
"6-30",0.015435
"6-30",0.029817
"6-30",0.031085
"6-30",0.040144
"6-30",0.052375
"6-30",0.009476
"6-30",-0.01402
"6-30",-0.00812
"6-30",0.027006
"6-30",0.0177
"6-30",0.035278
"6-30",0.050381
"6-30",0.045064
"6-30",0.020391
"6-30",0.018259
"6-30",-0.003627
"6-30",0.019676
"6-30",0.009151
"6-30",0.015219
"6-30",0.010779
"6-30",0.013044
"6-30",-0.007712
"6-30",0.005811
"6-30",-0.004191
